"TIME","Oxy.kg/m^3"
2021-06-15 13:55:00,0.00939962
2021-06-15 14:55:00,0.00966657
2021-06-15 15:55:00,0.00808348
2021-06-15 16:55:00,0.00715162
2021-06-15 17:55:00,0.00574222
2021-06-15 18:55:00,0.00435642
2021-06-15 19:55:00,0.00344188
2021-06-15 20:55:00,0.00245019
2021-06-15 21:55:00,0.00287329
2021-06-15 22:55:00,0.00297701
2021-06-15 23:55:00,0.00323023
2021-06-16 00:55:00,0.00353797
2021-06-16 01:55:00,0.00393575
2021-06-16 02:55:00,0.0039416
2021-06-16 03:55:00,0.00420066
2021-06-16 04:55:00,0.00424686
2021-06-16 05:55:00,0.00431095
2021-06-16 06:55:00,0.00502377
2021-06-16 07:55:00,0.00599029
2021-06-16 08:55:00,0.007348
2021-06-16 09:55:00,0.00810747
2021-06-16 10:55:00,0.00898488
2021-06-16 11:55:00,0.00905708
2021-06-16 12:55:00,0.00981581
2021-06-16 13:55:00,0.00950778
2021-06-16 14:55:00,0.0084847
2021-06-16 15:55:00,0.00781569
2021-06-16 16:55:00,0.00751279
2021-06-16 17:55:00,0.00674904
2021-06-16 18:55:00,0.0053512
2021-06-16 19:55:00,0.00408717
2021-06-16 20:55:00,0.00350151
2021-06-16 21:55:00,0.00349658
2021-06-16 22:55:00,0.00399388
2021-06-16 23:55:00,0.00392019
2021-06-17 00:55:00,0.003715
2021-06-17 01:55:00,0.00341093
2021-06-17 02:55:00,0.00392087
2021-06-17 03:55:00,0.0043693
2021-06-17 04:55:00,0.00428484
2021-06-17 05:55:00,0.00516745
2021-06-17 06:55:00,0.00617322
2021-06-17 07:55:00,0.00702165
2021-06-17 08:55:00,0.00904129
2021-06-17 09:55:00,0.00961717
2021-06-17 10:55:00,0.00987767
2021-06-17 11:55:00,0.00998715
2021-06-17 12:55:00,0.0101206
2021-06-17 13:55:00,0.0100155
2021-06-17 14:55:00,0.00949201
2021-06-17 15:55:00,0.0088486
2021-06-17 16:55:00,0.00814391
2021-06-17 17:55:00,0.00744797
2021-06-17 18:55:00,0.00671743
2021-06-17 19:55:00,0.00607425
2021-06-17 20:55:00,0.00527402
2021-06-17 21:55:00,0.00481168
2021-06-17 22:55:00,0.00530759
2021-06-18 00:53:00,0.00508789
2021-06-18 01:53:00,0.00528268
2021-06-18 02:53:00,0.00565709
2021-06-18 03:53:00,0.00563791
2021-06-18 04:53:00,0.00587313
2021-06-18 05:53:00,0.00633308
2021-06-18 06:53:00,0.00706115
2021-06-18 07:53:00,0.00776984
2021-06-18 08:53:00,0.0081778
