"TIME","K.kg/m^3"
2021-06-15 13:10:00,0.128972
2021-06-15 13:25:00,0.128363
2021-06-15 13:40:00,0.128617
2021-06-15 13:55:00,0.127782
2021-06-15 14:10:00,0.128145
2021-06-15 14:25:00,0.128017
2021-06-15 14:40:00,0.128004
2021-06-15 14:55:00,0.127854
2021-06-15 15:10:00,0.128015
2021-06-15 15:25:00,0.12807
2021-06-15 15:40:00,0.127864
2021-06-15 15:55:00,0.12822
2021-06-15 16:10:00,0.128203
2021-06-15 16:25:00,0.128462
2021-06-15 16:40:00,0.128451
2021-06-15 16:55:00,0.129074
2021-06-15 17:10:00,0.129044
2021-06-15 17:25:00,0.127986
2021-06-15 17:40:00,0.128198
2021-06-15 17:55:00,0.128224
2021-06-15 18:10:00,0.12845
2021-06-15 18:25:00,0.12924
2021-06-15 18:40:00,0.128656
2021-06-15 18:55:00,0.128871
2021-06-15 19:10:00,0.129039
2021-06-15 19:25:00,0.129418
2021-06-15 19:40:00,0.129311
2021-06-15 19:55:00,0.129481
2021-06-15 20:10:00,0.129778
2021-06-15 20:25:00,0.131017
2021-06-15 20:40:00,0.131018
2021-06-15 20:55:00,0.131072
2021-06-15 21:10:00,0.131133
2021-06-15 21:25:00,0.131248
2021-06-15 21:40:00,0.131284
2021-06-15 21:55:00,0.13138
2021-06-15 22:10:00,0.131469
2021-06-15 22:25:00,0.131485
2021-06-15 22:40:00,0.131507
2021-06-15 22:55:00,0.131529
2021-06-15 23:10:00,0.131594
2021-06-15 23:25:00,0.131649
2021-06-15 23:40:00,0.131604
2021-06-15 23:55:00,0.131617
2021-06-16 00:10:00,0.131676
2021-06-16 00:25:00,0.131633
2021-06-16 00:40:00,0.131646
2021-06-16 00:55:00,0.131777
2021-06-16 01:10:00,0.131768
2021-06-16 01:25:00,0.131754
2021-06-16 01:40:00,0.131711
2021-06-16 01:55:00,0.13169
2021-06-16 02:10:00,0.13172
2021-06-16 02:25:00,0.131737
2021-06-16 02:40:00,0.131762
2021-06-16 02:55:00,0.131774
2021-06-16 03:10:00,0.131731
2021-06-16 03:25:00,0.131664
2021-06-16 03:40:00,0.13168
2021-06-16 03:55:00,0.131647
2021-06-16 04:10:00,0.131624
2021-06-16 04:25:00,0.131703
2021-06-16 04:40:00,0.13168
2021-06-16 04:55:00,0.130982
2021-06-16 05:10:00,0.131576
2021-06-16 05:25:00,0.13155
2021-06-16 05:40:00,0.131506
2021-06-16 05:55:00,0.13145
2021-06-16 06:10:00,0.131377
2021-06-16 06:25:00,0.131245
2021-06-16 06:40:00,0.131121
2021-06-16 06:55:00,0.13096
2021-06-16 07:10:00,0.130849
2021-06-16 07:25:00,0.130576
2021-06-16 07:40:00,0.13033
2021-06-16 07:55:00,0.130073
2021-06-16 08:10:00,0.129893
2021-06-16 08:25:00,0.129603
2021-06-16 08:40:00,0.129217
2021-06-16 08:55:00,0.128908
2021-06-16 09:10:00,0.128541
2021-06-16 09:25:00,0.128223
2021-06-16 09:40:00,0.127986
2021-06-16 09:55:00,0.128633
2021-06-16 10:10:00,0.129893
2021-06-16 10:25:00,0.130308
2021-06-16 10:40:00,0.130573
2021-06-16 10:55:00,0.130098
2021-06-16 11:10:00,0.129705
2021-06-16 11:25:00,0.12925
2021-06-16 11:40:00,0.129268
2021-06-16 11:55:00,0.128732
2021-06-16 12:10:00,0.128485
2021-06-16 12:25:00,0.128254
2021-06-16 12:40:00,0.128198
2021-06-16 12:55:00,0.128039
2021-06-16 13:10:00,0.128139
2021-06-16 13:25:00,0.127969
2021-06-16 13:40:00,0.127781
2021-06-16 13:55:00,0.127696
2021-06-16 14:10:00,0.12748
2021-06-16 14:25:00,0.127661
2021-06-16 14:40:00,0.127485
2021-06-16 14:55:00,0.127186
2021-06-16 15:10:00,0.127182
2021-06-16 15:25:00,0.126994
2021-06-16 15:40:00,0.126986
2021-06-16 15:55:00,0.127058
2021-06-16 16:10:00,0.127056
2021-06-16 16:25:00,0.127124
2021-06-16 16:40:00,0.127123
2021-06-16 16:55:00,0.127001
2021-06-16 17:10:00,0.127151
2021-06-16 17:25:00,0.127147
2021-06-16 17:40:00,0.127585
2021-06-16 17:55:00,0.127774
2021-06-16 18:10:00,0.127698
2021-06-16 18:25:00,0.127952
2021-06-16 18:40:00,0.127964
2021-06-16 18:55:00,0.128128
2021-06-16 19:10:00,0.128321
2021-06-16 19:25:00,0.128681
2021-06-16 19:40:00,0.128818
2021-06-16 19:55:00,0.129106
2021-06-16 20:10:00,0.12928
2021-06-16 20:25:00,0.129202
2021-06-16 20:40:00,0.129325
2021-06-16 20:55:00,0.129504
2021-06-16 21:10:00,0.129637
2021-06-16 21:25:00,0.129645
2021-06-16 21:40:00,0.129804
2021-06-16 21:55:00,0.129944
